country,Region,Surface area (km2),Population in thousands (2017),"Sex ratio (m per 100 f, 2017)",Unemployment (% of labour force),Health: Total expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Health Care Index,Cost of Living,Pollution index,Adjusted net national income per capita (constant 2010 US$)
Argentina,SouthAmerica,2780400,44271,95.9,6.5,4.8,69.4,256,3167,85,73.3,52.57,53.33,9094.367252
Australia,Oceania,7692060,24451,99.3,5.5,9.4,84.6,948,15282,222,74.25,80.66,24.58,43073.96717
Austria,WesternEurope,83871,8736,96.2,6.2,11.2,83.9,118,505,158,80.91,71.52,21.9,39557.66799
Belarus,EasternEurope,207600,9468,87,0.5,5.7,62.2,25,155,122,53.76,33.84,39.64,5923.223118
Belgium,WesternEurope,30528,11429,97.3,8.3,10.6,85.1,37,520,196,78.92,75.36,48.92,38493.27244
Bosnia and Herzegovina,SouthernEurope,51209,3507,96.4,25.4,9.6,65.1,91,252,85,61.49,35.05,60.69,5061.666904
Brazil,SouthAmerica,8515767,209288,96.6,12.4,8.3,59.1,990,10948,61,51.7,53.07,61.17,9359.891696
Bulgaria,EasternEurope,111002,7085,94.6,8.1,8.4,56.7,104,474,103,54.03,36.49,63.12,7224.353985
Canada,NorthernAmerica,9984670,36624,98.5,7.1,10.4,88.5,122,19276,324,69.23,70.16,26.54,41350.06993
Chile,SouthAmerica,756102,18055,98.2,6.8,7.8,64.3,197,540,85,60.97,50.09,67.67,10980.763
"China, Hong Kong SAR",EasternAsia,1106,7365,85.1,3.5,-99,84.9,64,-99,83,67.99,79.96,69.9,
China,EasternAsia,9600000,1409517,106.3,4.6,5.5,50.3,1080,101394,87,62.25,44.76,88.96,5480.724341
Colombia,SouthAmerica,1141748,49066,96.8,10.5,7.2,55.9,835,5380,31,65.79,34.45,63.9,5988.754235
Croatia,SouthernEurope,56594,4189,93.1,11.7,7.8,69.8,176,182,79,65.49,48,33.34,13047.46428
Cyprus,WesternAsia,9251,1180,100.2,10.3,7.4,71.7,72,5,72,54.23,54.07,54.77,26093.20402
Czechia,EasternEurope,78868,10618,96.7,3.9,7.4,81.3,53,1221,164,74.09,41.22,41.04,16801.71647
Denmark,NorthernEurope,42921,5734,99,6,10.8,96.3,47,666,119,75.45,83.02,25.97,53704.95939
Egypt,NorthernAfrica,1002000,97553,102.3,11.5,5.6,35.9,156,3509,36,43.73,22.36,88.88,2524.475991
Estonia,NorthernEurope,45227,1310,88.2,7.2,6.4,88.4,23,242,193,71.3,49.5,17.71,16294.78517
Finland,NorthernEurope,338440,5523,97.2,8.9,9.7,92.7,36,757,257,74.85,73.06,13.38,39458.5092
France,WesternEurope,551500,64980,96.7,9.8,11.5,84.7,278,5694,158,78.62,74.89,40.15,36547.87958
Germany,WesternEurope,357376,82114,97,4.2,11.3,87.6,116,5004,158,76.74,65.5,27.05,40038.34518
